team,win,lose,pointsScored,pointsAllowed,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg2,opp_fg2a,opp_fg3,opp_fg3a,opp_ft,opp_ft,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,tourny_games_won
villanova,32,4,77.2,62.7,965,1948,654,1105,311,843,538,681,316,892,505,259,109,402,515,846,2018,595,1211,251,807,313,313,336,737,482,185,73,475,656,1
mount-st-marys,20,16,67.9,68.7,877,1977,616,1247,261,730,431,640,276,806,403,222,142,472,640,923,2039,733,1481,190,558,438,438,427,924,405,230,99,534,674,0
wisconsin,27,10,72.4,62.4,971,2135,688,1347,283,788,453,703,460,917,504,250,130,411,602,822,1992,571,1325,251,667,413,413,313,829,375,197,115,473,678,2
virginia-tech,22,11,79.1,74.7,887,1813,597,1093,290,720,546,741,240,828,497,131,91,398,543,902,2029,638,1301,264,728,397,397,359,787,450,179,129,383,633,0
virginia,23,11,66.1,56.4,839,1823,607,1221,232,602,336,474,297,822,473,190,138,324,556,658,1653,449,995,209,658,391,391,264,758,333,168,91,432,500,1
north-carolina-wilmington,29,6,84.8,75.0,1071,2231,735,1314,336,917,489,708,422,839,564,234,115,363,699,938,1964,746,1396,192,568,556,556,320,864,433,171,97,504,662,0
florida,27,9,77.9,66.5,953,2118,675,1342,278,776,620,851,416,915,450,272,167,431,661,849,2070,651,1421,198,649,498,498,375,891,347,200,101,533,746,3
east-tennessee-state,27,8,79.5,69.7,960,1967,695,1274,265,693,597,850,357,912,516,293,162,519,698,819,1962,545,1189,274,773,526,526,340,783,387,242,126,548,729,0
southern-methodist,30,5,74.3,60.0,914,1934,628,1229,286,705,485,696,416,919,566,200,117,377,506,745,1928,463,1050,282,878,328,328,329,706,415,172,105,409,633,0
southern-california,26,10,78.2,73.1,975,2139,692,1357,283,782,583,787,387,899,550,252,190,398,571,973,2243,672,1424,301,819,386,386,408,864,522,200,115,452,673,1
baylor,27,8,72.9,63.7,921,1956,691,1315,230,641,478,661,451,878,544,180,166,469,617,794,1960,572,1273,222,687,418,418,351,672,462,189,126,397,645,2
new-mexico-state,28,6,78.8,67.9,913,1957,661,1210,252,747,600,843,436,903,505,166,128,465,627,827,1972,639,1332,188,640,468,468,371,753,359,178,65,466,736,0
south-carolina,26,11,73.2,65.2,924,2197,676,1464,248,733,611,874,464,882,468,288,142,480,751,789,1969,581,1282,208,687,628,628,382,922,363,222,142,632,777,4
marquette,19,13,82.2,75.6,919,1888,583,1105,336,783,457,585,280,778,525,231,115,396,620,859,1871,624,1232,235,639,465,465,319,758,511,210,114,418,548,0
duke,28,9,80.8,70.2,1019,2144,708,1322,311,822,642,842,390,951,484,226,172,421,675,959,2218,772,1579,187,639,492,492,399,846,447,176,88,447,737,1
troy,22,15,78.1,72.1,982,2153,671,1286,311,867,614,847,409,953,484,221,129,462,654,933,2182,638,1313,295,869,506,506,380,887,464,222,119,463,705,0
kansas,31,5,83.2,71.9,1071,2193,753,1406,318,787,535,789,428,965,584,250,162,456,639,924,2200,656,1447,268,753,472,472,401,833,461,245,132,483,673,3
california-davis,23,13,70.1,69.6,873,2008,652,1373,221,635,558,828,364,916,461,202,118,513,688,889,2086,636,1318,253,768,475,475,347,894,479,248,122,503,759,0
miami-fl,21,12,69.0,64.1,813,1800,604,1213,209,587,443,617,363,813,389,213,125,417,513,761,1817,553,1186,208,631,386,386,318,725,395,197,101,392,553,0
