team,win,lose,pointsScored,pointsAllowed,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg2,opp_fg2a,opp_fg3,opp_fg3a,opp_ft,opp_ft,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
virginia,31,2,67.5,53.4,825,1788,582,1165,243,623,336,443,277,800,453,224,123,283,464,621,1655,418,985,203,670,317,317,277,738,292,128,87,420,497
maryland-baltimore-county,24,10,73.9,69.5,886,1993,540,1099,346,894,395,609,338,846,525,256,85,411,562,842,1912,565,1127,277,785,401,401,329,903,449,217,93,504,645
creighton,21,11,84.3,74.2,985,1982,651,1093,334,889,393,526,232,929,576,181,85,358,480,884,2043,632,1277,252,766,355,355,298,827,448,194,94,376,518
kansas-state,22,11,72.4,67.9,854,1809,625,1144,229,665,451,608,269,741,473,256,99,379,607,762,1776,528,1071,234,705,482,482,352,760,418,185,81,473,599
kentucky,24,10,76.7,70.3,920,1958,735,1445,185,513,584,838,411,904,455,191,166,442,642,836,2060,576,1191,260,869,458,458,410,743,440,194,129,407,688
davidson,21,11,76.4,67.6,875,1813,533,939,342,874,354,444,218,832,539,153,63,306,481,776,1776,510,1020,266,756,344,344,253,753,406,152,80,342,506
arizona,27,7,80.9,71.2,980,1940,745,1316,235,624,555,729,341,905,518,168,155,417,592,856,1984,610,1285,246,699,462,462,302,685,430,209,90,396,671
buffalo,26,8,84.8,75.9,1045,2205,716,1318,329,887,464,666,407,919,576,217,143,426,719,871,2051,641,1356,230,695,607,607,366,874,386,197,128,474,626
miami-fl,22,9,74.2,68.0,850,1832,607,1163,243,669,354,534,309,771,413,203,123,351,505,768,1786,561,1152,207,634,364,364,309,751,404,176,105,402,512
loyola-il,28,5,72.4,62.2,869,1714,623,1096,246,618,406,561,209,858,519,219,82,404,456,755,1831,534,1160,221,671,323,323,294,719,388,210,101,434,552
tennessee,25,8,74.2,66.4,833,1897,574,1222,259,675,524,693,385,809,522,208,148,403,646,743,1813,533,1155,210,658,495,495,371,764,357,186,109,461,644
wright-state,25,9,72.1,65.7,854,1959,621,1277,233,682,512,714,346,889,451,226,75,446,541,789,1905,526,1148,263,757,393,393,290,844,407,198,96,519,685
